Shop Area,Tool Name,Make and Model
3D Printing,CR10-MAX (Kaytoo),CR10-MAX 3D Filament Printer
3D Printing,Prusa MK2s (Chopper),Prusa i3 MK2 3D Filament Printer
3D Printing,Prusa MK3s (Artoo),Prusa i3 MK3s 3D Filament Printer
3D Printing,Prusa MK3s (Threepio),Prusa i3 MK3s 3D Filament Printer
Blacksmithing,Belt Grinder,House Made Revolution 2 x 72
Blacksmithing,Forge 1,Mr Volcano Hero - Single Burner Propane Forge
Blacksmithing,Forge 2,Mr Volcano Hero - Single Burner Propane Forge
Blacksmithing,Forge 3,Mr Volcano Hero - Single Burner Propane Forge
CNC Plasma,CNC Plasma Cutter,CNC Router Parts PRO CNC Plasma Kit
CNC Router,CNC Router,CNC Router Parts PRO60120
Electronics,Bench Power Supply,"GW Instek adjustable, 32V, 5A"
Electronics,Function Generator,Rigol DG1022A
Electronics,Hot Air Rework Station,X-Tronic 4000 Series
Electronics,Oscilloscope,Rigol DS1204B
Electronics,Reflow Oven,Tech 169 T962
Electronics,Soldering Station,Weller temperature controlled
General Metal Tools,Metal Chopsaw,Evolution EVOSaw 380
General Metal Tools,Metal Drill Press,Craftsman Drill Press 137.229200
General Metal Tools,Vertical Metal Bandsaw,Jet VBS-1610
General Wood Tools,Downdraft Table,Grizzly H2936 Vacuum Sanding Table
General Wood Tools,Miter Saw,"Jet 12"" Sliding Dual Bevel Compound Miter Saw"
General Wood Tools,Panel Saw,Powermatic
General Wood Tools,Resaw Bandsaw,Jet JWBS-18QT-3
General Wood Tools,Scroll Saw,
General Wood Tools,Spindle Sander,Shop Fox W1846
General Wood Tools,Table Saw 1,SawStop ICS53230 5HP 
General Wood Tools,Table Saw 2,SawStop PCS31230 3HP
General Wood Tools,Woodshop Drill Press,Jet Step Pulley Drill Press JDP-20MF
General Wood Tools,Woodworking Bandsaw," JET 18"" Woodworking Bandsaw JWBS14"
Graphics,Cap Press,Hotronix Maxx Cap Press
Graphics,Dye Sublimation Printer,Sawgrass SG1000
Graphics,Heat Press,Hotronix Swinger Heat Press
Graphics,Large Format Printer,Canon imagePROGRAF iPF650
Graphics,Vinyl Cutter,US Cutter Laserpoint II
Grinding & Sandblasting,Aluminium Bench Grinder,Jet JBG-10A
Grinding & Sandblasting,Belt and Disc Sander,Jet JSG-6DC
Grinding & Sandblasting,Disc Grinder,"Laguna 20"" Disc Grinder Sander"
Grinding & Sandblasting,Sandblaster,SkatblastUSA 1536 Champion Abrasive Blasting Cabinet
Grinding & Sandblasting,Steel Bench Grinder,Jet JBG-10A
Hand Tools,16-Gauge Finish Nailer,Porter Cable FN250B
Hand Tools,18-Gauge Narrow Crown Pneumatic Stapler,Porter Cable NS 100A
Hand Tools,Rotary Tool,Eurotool Flexshaft HDP-150
Industrial Metal Tools,Horizontal Bandsaw,"Jet J-7040M, 10"" x 16"" Horizontal Mitering Bandsaw"
Industrial Metal Tools,Ironworker,Edwards 55 ton hydraulic ironworker
Jewelry,Jewelery Hand Shearer,HS-8 Hand Shearer for Metal
Jewelry,Pickle Pot,
Jewelry,Polishing Machine,
Jewelry,Soldering Torch,Natural Gas/ Oxygen
Jewelry,Tumbler,Huajie KD-100
Jewelry,Ultrasonic Cleaner,Chicago Electric Ultrasonic Cleaner 95563
Lasers,Laser 1,Rabbit Lasers QX-80-1290	
Lasers,Laser 2,Rabbit Lasers QX-80-1290
Lasers,Laser 3,Trotec Speedy 300 C80
Machining,Clausing Mill,Clausing Kondia CNC Knee Mill
Machining,Manual Metal Lathe,"Jet GH-1440W-3, Geared Head Lathe"
Machining,Manual Mill,Jet JTM-4VS Turret Mill
Machining,Micro Mill,Othermill
Machining,Surface Grinder,Abrasive Machine Tool Co 3B
Machining,Tormach,Tormach PCNC 770
Millwork & Joinery,Drum Sander,Jet 16-32 Plus
Millwork & Joinery,Forstner Bits,Ryobi Small and Large Forstner Bit Sets
Millwork & Joinery,Jointer,Laguna MJOIN 8020-0130
Millwork & Joinery,Planer,"Laguna 16"" 4-Post Planer MPLAN1510-0120"
Millwork & Joinery,Router Table,Woodpeckers PRL-v2-350
Plastics,Injection Molder,Morgan Press G-100T
Plastics,Precious Plastics Shredder,
Plastics,Strip Heater,Formec FLB500 
Plastics,Vacuum Former,Formech 686
Powder Coating,Large Powder Coating Oven,Powder-X
Powder Coating,Powder Coating Booth,SpectraCoat ES-01
Powder Coating,Small Powder Coating Oven,Jegs Bench Top Powder Coating Oven
Sheet Metals,Arbor Press,Jet AP3-M
Sheet Metals,Electric Slip Roll,ESR 1300x1.5
Sheet Metals,Hand Brake,Jet BP-1646H
Sheet Metals,Hand Notcher,Jet HN 16-T
Sheet Metals,Metal Shrinker/Stretcher,Central Machinery 68897
Sheet Metals,Shear,Birmingham/CP Tools H-5214
Sheet Metals,Shop Press,Central Machinery 20-Ton Shop Press
Sheet Metals,Turret Punch,Tin Knocker Hand Turret Punch TK-12
Textiles,CNC Embroidery Machine,Brother PR650e Entrepreneur
Textiles,Consumer Sewing Machine, Singer 4423
Textiles,Industrial Serger,Juki MO-6714S
Textiles,Industrial Straight Stitch,Juki DDL 8700
Textiles,Industrial Walking Foot,Juki DNU-1541S
Welding,Manual Plasma Cutter,Lincoln Electric Tomahawk 625
Welding,MIG Welder,Lincoln Electric Power MIG 256
Welding,Oxy-Acetylene Torch,Underwriters Laboratory Welding Torch 8F41
Welding,Spot Welder,Miller Electric LMSW-52
Welding,TIG Welder,Lincoln Electric Precision TIG 225
Wood Lathe,Wood Lathe,Powermatic 4224B
